Date," Time",Substrate," Object"," Process(°C)"," Process(minute)",Start Pressure (torr),Process Pressure (torr),Gas,Flow (sccm)," Result"
June 8 2026,10:00,None,Clean tube for use with FeCl,0>300>300>1000>1000>END,15>10>70>120>-121,,,Argon,20,"Cleaned, really only burns off what is possible, leaves white ash"
June 10 2026,18:30,None,Clean tube for use with FeCl,0>300>300>1000>1000>END,15>10>60>90>-121,,1.13,Argon,10
